Category,asin,Rank,Product Name,Rating,Rating Count,Price,tag
Coffee Maker Accessories,B09MS5JD7Q,25.0,KaldiPress Coffee Press Percolator with Metal and 500 Paper Filters (Black),4.6,249.0,1499.0,Coffee Press Percolator with Filters
Capsule Baskets,B09FJGSG1H,7.0,"Wooden Coffee Station Organizer, Coffee Bar Accessories Organizer for Counter, Coffee Bar Bin Box, Coffee Pods Holder Storage Basket, Farmhouse Kitchen Coffee Bar Decor, Coffee Lovers Gift",4.7,146.0,6540.64,Coffee Station Organizer
Capsule Baskets,B09JSBR87B,8.0,"Coffee Station Organizer for Counter,Wood Coffee Pods Holder Storage Basket Coffee Bar Accessories Organizer,Coffee Holder for Coffee Bar Decor, Coffee Lover (Black)",4.7,302.0,6293.0,Coffee Station Organizer
Stovetop Espresso Pots,B0047BIWSK,8.0,Aeropress Coffee and Espresso Maker,4.7,19017.0,4120.0,Coffee and Espresso Maker
"Coffee, Tea & Espresso",B0C1GFM99Y,17.0,"AGARO Elite French Press Coffee And Tea Maker, Borosilicate Glass Body With Sleeves, Glass Carafe, BPA Free Plastic Lid Strainer, 600Ml",4.2,306.0,559.0,Coffee and Tea Maker
"Coffee, Tea & Espresso",B07M5GT99K,25.0,Wonderchef French Press Coffee & Tea Maker 350 ml|Borosilicate Glass Carafe|4 Level Filtration System|Stainless Steel Plunger with Mesh|1-2 Cups of Coffee|Brews in Just 3 Minutes|Black|1 Year Warranty,4.1,970.0,599.0,Coffee and Tea Maker
Capsule Drawers,B09Z6JWVZG,13.0,Rice rat Coffee Vertuo Capsule Holder Drawer for Nespresso With Glass For Cabinet Vertuoline Pod Storage Rack For Counter (Class-50 Pods（With handle）),4.4,130.0,11533.0,Coffee capsule holder drawer
Capsule Drawers,B07Z3YSJF7,24.0,"EVERIE Crystal Tempered Glass Top Storage Organizer Drawer for Nespresso Capsules, Holds 40 Big or 52 Small Vertuoline Pods",4.8,8629.0,11770.29,Coffee capsule storage drawer
Capsule Drawers,B07PKSL6F5,14.0,HiveNets Vertuoline HiveNets Coffee Machine Capsule Metal Storage Holder Stand Drawer Dispenser Compatible for Nespresso Vertuo/Vertuoplus 40 PCS Capacity Multiple Flavors Pods Organizer [Black],4.6,1006.0,10308.0,Coffee capsule storage holder
Coffee Filters,B001O0R46I,2.0,"Hario V60 Paper Coffee Filters, Size 02, Natural, Tabbed",4.6,18269.0,712.0,Coffee filters
Disposable Coffee Filters,B0029PVRXI,4.0,"HARIO V60 Paper Coffee Filters, Size 01, 100 Count, Natural, Multicolor (V60 Filters)",4.4,2419.0,420.0,Coffee filters
Coffee Filters,B0029PVRXI,4.0,"HARIO V60 Paper Coffee Filters, Size 01, 100 Count, Natural, Multicolor (V60 Filters)",4.4,2419.0,440.0,Coffee filters
Coffee Maker Accessories,B001O0R46I,9.0,"Hario V60 Paper Coffee Filters, Size 02, Natural, Tabbed",4.6,18269.0,712.0,Coffee filters
Coffee Maker Accessories,B0029PVRXI,23.0,"HARIO V60 Paper Coffee Filters, Size 01, 100 Count, Natural, Multicolor (V60 Filters)",4.4,2419.0,440.0,Coffee filters
Disposable Coffee Filters,B0012VVB8Q,27.0,"Hario Coffee Paper Filters (Size 03, 40 Sheets, White)",4.5,1760.0,279.0,Coffee filters
"Coffee, Tea & Espresso",B09QHQNLFB,9.0,PANCA South Indian Filter Coffee Maker 200 ML 2-4 Cup Mug Madras Kaapi Kappi Drip Decoction Maker Brewer Dripper Stainless Steel Medium Size for Home & Kitchen,4.2,787.0,275.0,Coffee maker
Capsule Drawers,B07Z3Y8VJB,9.0,"EVERIE Tempered Glass Top Holder Drawer Compatible with Nespresso Capsules Coffee Pods, Holds 54 Pods",4.7,1347.0,8747.0,Coffee pod holder
Capsule Stands,B07K4ZMM1X,29.0,"K -32 Cup Carousel,Coffee Pod Holder Carousel Holds 32 Single Cup Coffee Pods in Matte Black",4.9,2106.0,8034.06,Coffee pod holder carousel
Capsule Drawers,B07D7M93ZW,7.0,EVERIE Coffee Pod Holder Drawer Compatible with Keurig K Cup Pods (Holds 18 Pods),4.7,2333.0,3082.0,Coffee pod holder drawer
Coffee Capsule Holders,B07D7M93ZW,15.0,EVERIE Coffee Pod Holder Drawer Compatible with Keurig K Cup Pods (Holds 18 Pods),4.7,2333.0,3082.0,Coffee pod holder drawer
Coffee Capsule Holders,B07Z3Y8VJB,26.0,"EVERIE Tempered Glass Top Holder Drawer Compatible with Nespresso Capsules Coffee Pods, Holds 54 Pods",4.7,1347.0,8747.0,Coffee pod holder drawer
Capsule Drawers,B0B1H7CBFV,22.0,Flagship for Vertuo Pod Holder Coffee Pod Organizer for Nespresso Pod Storage Glass Top(50 Pods Capacity),4.7,213.0,11688.0,Coffee pod organizer
Capsule Drawers,B00JZCBN4G,16.0,"Mind Reader 'Hero' 36 Capacity Single Serve Coffee Pod Storage Drawer, Silver/ Grey",4.4,1855.0,5100.0,Coffee pod storage drawer
Capsule Drawers,B07BC8DKN1,27.0,"Keurig Under Brewer Storage Drawer, K-Cup Pod Organizer Holds 35 Coffee Pods, Fits Under Keurig K-Cup Pod Coffee Makers, Black",4.7,11588.0,9600.0,Coffee pod storage drawer
Capsule Drawers,B07S1QLVXY,29.0,"Nifty Home Products 24 Coffee Pod Capacity Storage Drawer Rolling K-Cup Holder, 12.75x8.25x3, Black",4.7,3479.0,5914.62,Coffee pod storage drawer
Capsule Drawers,B078Z43GF2,28.0,"Mind Reader 72 Capacity Double K-Cup Coffee Pod Storage Organizer Drawer Metal Mesh, Black",4.2,1889.0,10393.0,Coffee pod storage organizer drawer
Disposable Coffee Filters,B075M22WK3,28.0,Toddy® Cold Brew System Home - Paper Filter Bags,4.9,1885.0,2299.0,Cold Brew System
Espresso Machines,B06ZY7R238,3.0,"Nespresso Essenza Mini Espresso Machine by De'Longhi, Red",4.6,1818.0,14340.0,Compact Espresso Machine
Espresso Machines,B06ZYSM2GR,16.0,"Nespresso Essenza Mini espresso Machine by De'Longhi, Black",4.5,3400.0,17299.0,Compact Espresso Machine
Pots & Pans,B00IYJEI4S,21.0,"Hawkins Futura 28 cm Tava, Hard Anodised Tawa with Stainless Steel Handle, Black (AT28)",4.3,12369.0,1090.0,Cooking Pan
Cookware,B00IYJEI4S,21.0,"Hawkins Futura 28 cm Tava, Hard Anodised Tawa with Stainless Steel Handle, Black (AT28)",4.3,12369.0,1090.0,Cooking Pan
Pots & Pans,B0B5XRDRFH,12.0,"Milton Pro Cook Kitchen Jewel Plus Set of 5 (Fry pan 24 cm/1.6 litres; Kadhai 24 cm/2.5 litres with Glass lid; Tawa 25 cm), Peach | Induction | Dishwasher | Hot Plate | Flame Safe",4.1,2144.0,1699.0,Cookware Set
Home & Kitchen,B0BLK9X25W,21.0,ALOXE Cosmetic Organizer Box Drawers Storage Plastic Stationary Box | Make Up Organiser For Women,4.1,2155.0,329.0,Cosmetic Organizer Box
Stir-Fry Pans,B09M417GLS,24.0,"OLRADA Iron Kadhai Deep Bottom Kadai, Frying Kadhai with Golden Rings, Black 8inch",3.8,376.0,349.0,Deep Bottom Kadhai
Frying Pans,B00EVQZEO6,16.0,"Hawkins Futura 1.5 Litre Deep Fry Pan, Hard Anodised Kadai, Round Bottom Kadhai, Small Kadai, Black (AK15)",4.4,4850.0,971.0,Deep Fry Pan
Frying Pans,B00EVQXLKU,27.0,"Hawkins Futura 2.5 Litre Deep Fry Pan, Hard Anodised Kadai with Stainless Steel Lid, Flat Bottom Kadhai, Black (AD25S)",4.4,4894.0,1818.0,Deep Fry Pan with Lid
Stir-Fry Pans,B07P6R6JYP,9.0,"Amazon Brand - Solimo Heavy gauge, Non-toxic, Hard Anodized Deep Kadhai (Black, 1 L, Aluminium, 18 cm)",4.2,982.0,549.0,Deep Kadhai
Kadhai & Woks,B07P6R6JYP,18.0,"Amazon Brand - Solimo Heavy gauge, Non-toxic, Hard Anodized Deep Kadhai (Black, 1 L, Aluminium, 18 cm)",4.2,982.0,549.0,Deep Kadhai
Stir-Fry Pans,B09BLFWT53,12.0,"Hawkins Futura 5 Litre Deep Kadhai, Non Stick Kadai with Glass Lid, Flat Bottom Induction Kadhai, Black (INK50G)",4.5,1439.0,2542.0,Deep Non Stick Kadhai with Glass Lid
Kadhai & Woks,B09BLFWT53,21.0,"Hawkins Futura 5 Litre Deep Kadhai, Non Stick Kadai with Glass Lid, Flat Bottom Induction Kadhai, Black (INK50G)",4.5,1439.0,2542.0,Deep Non-Stick Kadhai with Lid
Kadhai & Woks,B08SQ3454H,14.0,"Hawkins 4 Litre Deep Kadhai, Triply Stainless Steel Kadai with Glass Lid, Flat Bottom Induction Kadhai, Big Kadai, Silver (SSK40G)",4.5,1276.0,2579.0,Deep Stainless Steel Kadhai
